2023-05-21 23:44:24,362 INFO    StreamThr :51679 [internal.py:wandb_internal():86] W&B internal server running at pid: 51679, started at: 2023-05-21 23:44:24.362406
2023-05-21 23:44:24,365 DEBUG   HandlerThread:51679 [handler.py:handle_request():144] handle_request: status
2023-05-21 23:44:24,368 INFO    WriterThread:51679 [datastore.py:open_for_write():85] open: /home/lukeli/Documents/Codes/taxyai-browser-extension/src/helpersPY/wandb/run-20230521_234424-hx48gvw0/run-hx48gvw0.wandb
2023-05-21 23:44:24,369 DEBUG   SenderThread:51679 [sender.py:send():375] send: header
2023-05-21 23:44:24,369 DEBUG   SenderThread:51679 [sender.py:send():375] send: run
2023-05-21 23:44:24,622 INFO    SenderThread:51679 [dir_watcher.py:__init__():219] watching files in: /home/lukeli/Documents/Codes/taxyai-browser-extension/src/helpersPY/wandb/run-20230521_234424-hx48gvw0/files
2023-05-21 23:44:24,622 INFO    SenderThread:51679 [sender.py:_start_run_threads():1124] run started: hx48gvw0 with start time 1684727064.360367
2023-05-21 23:44:24,622 DEBUG   SenderThread:51679 [sender.py:send_request():402] send_request: summary_record
2023-05-21 23:44:24,622 INFO    SenderThread:51679 [sender.py:_save_file():1378] saving file wandb-summary.json with policy end
2023-05-21 23:44:24,632 DEBUG   HandlerThread:51679 [handler.py:handle_request():144] handle_request: check_version
2023-05-21 23:44:24,633 DEBUG   SenderThread:51679 [sender.py:send_request():402] send_request: check_version
2023-05-21 23:44:24,715 DEBUG   HandlerThread:51679 [handler.py:handle_request():144] handle_request: run_start
2023-05-21 23:44:24,720 DEBUG   HandlerThread:51679 [system_info.py:__init__():31] System info init
2023-05-21 23:44:24,720 DEBUG   HandlerThread:51679 [system_info.py:__init__():46] System info init done
2023-05-21 23:44:24,720 INFO    HandlerThread:51679 [system_monitor.py:start():181] Starting system monitor
2023-05-21 23:44:24,720 INFO    SystemMonitor:51679 [system_monitor.py:_start():145] Starting system asset monitoring threads
2023-05-21 23:44:24,720 INFO    HandlerThread:51679 [system_monitor.py:probe():201] Collecting system info
2023-05-21 23:44:24,721 INFO    SystemMonitor:51679 [interfaces.py:start():190] Started cpu monitoring
2023-05-21 23:44:24,721 INFO    SystemMonitor:51679 [interfaces.py:start():190] Started disk monitoring
2023-05-21 23:44:24,722 INFO    SystemMonitor:51679 [interfaces.py:start():190] Started gpu monitoring
2023-05-21 23:44:24,722 INFO    SystemMonitor:51679 [interfaces.py:start():190] Started memory monitoring
2023-05-21 23:44:24,722 INFO    SystemMonitor:51679 [interfaces.py:start():190] Started network monitoring
